myojin01,1泊2日でテント泊してきました。
sugoroku01,双六診療所の見学に行ってきました。
sugoroku02,第1班に引き続き双六診療所にお世話になりました。
hotaka01,夏合宿で北アルプス(穂高、槍ヶ岳)に行ってきました。
yakushima01,3月の終わりに屋久島に行ってきました。
kongou01,下山後は鶴橋でOBの方々と焼肉会でした。
kitadake01,2017年の夏合宿で南アルプスの北岳に行きました。
kuju01,今年も3月に九州に行きました。
ishizuchi01,笹ヶ峰、瓶ヶ森に登って、石鎚山手前で時間切れでした。
buna02,蓬莱山から縦走しました。
